date,time,frame,frequency,amplitude,activity
30/08/2019,14:00,2330,0,0,7.075391322
30/08/2019,14:00,2340,0,0,6.832855517
30/08/2019,14:00,2350,0,0,6.718366179
30/08/2019,14:00,2360,0,0,8.182225235
30/08/2019,14:00,2370,0,0,8.385519991
30/08/2019,14:00,2380,0,0,7.533348673
30/08/2019,14:00,2390,0,0,7.860150123
30/08/2019,14:00,2400,0,0,7.087953433
30/08/2019,14:00,2410,0,0,7.537204371
30/08/2019,14:00,2420,0,0,7.782849609
30/08/2019,14:00,2430,0,0,6.376639449
30/08/2019,14:00,2440,0,0,7.331919578
30/08/2019,14:00,2450,0,0,7.764752707
30/08/2019,14:00,2460,0,0,7.854615332
30/08/2019,14:00,2470,0,0,7.641556955
30/08/2019,14:00,2480,0,0,8.578740182
30/08/2019,14:00,2490,0,0,8.252871562
30/08/2019,14:00,2500,0,0,8.583404332
30/08/2019,14:00,2510,0,0,8.426875455
30/08/2019,14:00,2520,0,0,7.104868751
30/08/2019,14:00,2530,0,0,8.571588485
30/08/2019,14:00,2540,0,0,8.744846114
30/08/2019,14:00,2550,0,0,8.59285701
30/08/2019,14:00,2560,0,0,8.124327585
30/08/2019,14:00,2570,0,0,8.998451502
30/08/2019,14:00,2580,0,0,8.92152412
30/08/2019,14:00,2590,0,0,8.707532913
30/08/2019,14:00,2600,0,0,8.757843546
30/08/2019,14:00,2610,0,0,8.757719168
30/08/2019,14:00,2620,0,0,10.96230745
30/08/2019,14:00,2630,0,0,10.63805573
30/08/2019,14:00,2640,0,0,9.850685008
30/08/2019,14:00,2650,0,0,10.16237461
30/08/2019,14:00,2660,0,0,9.362193021
30/08/2019,14:00,2670,0,0,8.795405501
30/08/2019,14:00,2680,0,0,9.006162897
30/08/2019,14:00,2690,0,0,9.186820977
30/08/2019,14:00,2700,0,0,9.572763851
30/08/2019,14:00,2710,0,0,10.28911512
30/08/2019,14:00,2720,0,0,9.781655587
30/08/2019,14:00,2730,0,0,10.5065267
30/08/2019,14:00,2740,0,0,9.918346279
30/08/2019,14:00,2750,0,0,8.428430171
30/08/2019,14:00,2760,0,0,9.46449338
30/08/2019,14:00,2770,0,0,9.21238052
30/08/2019,14:00,2780,0,0,9.009334519
30/08/2019,14:00,2790,0,0,8.524760418
30/08/2019,14:00,2800,0,0,8.094601402
30/08/2019,14:00,2810,0,0,8.461203599
30/08/2019,14:00,2820,0,0,8.472210994
30/08/2019,14:00,2830,0,0,8.718167176
30/08/2019,14:00,2840,0,0,9.488187263
30/08/2019,14:00,2850,0,0,9.670524437
30/08/2019,14:00,2860,0,0,10.15373039
30/08/2019,14:00,2870,0,0,9.722141031
30/08/2019,14:00,2880,0,0,9.239494779
30/08/2019,14:00,2890,0,0,9.260887681
30/08/2019,14:00,2900,0,0,8.584337162
30/08/2019,14:00,2910,0,0,9.648012139
30/08/2019,14:00,2920,0,0,8.354923166
30/08/2019,14:00,2930,0,0,7.899391173
30/08/2019,14:00,2940,0,0,8.304923477
30/08/2019,14:00,2950,0,0,9.266982171
