date,time,frame,frequency,activity
29/08/2019,15:00:00,1230,-1,1.6136875
29/08/2019,15:00:00,1240,-1,1.9296875
29/08/2019,15:00:00,1250,-1,2.096125
29/08/2019,15:00:00,1260,-1,2.27375
29/08/2019,15:00:00,1270,-1,2.3803125
29/08/2019,15:00:00,1280,-1,1.9251875
29/08/2019,15:00:00,1290,-1,2.7683125
29/08/2019,15:00:00,1300,-1,2.446875
29/08/2019,15:00:00,1310,-1,2.2915625
29/08/2019,15:00:00,1320,-1,2.3273125
29/08/2019,15:00:00,1330,-1,2.7909375
29/08/2019,15:00:00,1340,0,2.48875
29/08/2019,15:00:00,1350,0,2.3143125
29/08/2019,15:00:00,1360,0,2.5561875
29/08/2019,15:00:00,1370,0,2.7191875
29/08/2019,15:00:00,1380,0,2.866875
29/08/2019,15:00:00,1390,0,4.0086875
29/08/2019,15:00:00,1400,0,4.7388125
29/08/2019,15:00:00,1410,0,4.0975
29/08/2019,15:00:00,1420,0,2.365
29/08/2019,15:00:00,1430,0,3.5779375
29/08/2019,15:00:00,1440,0,4.038125
29/08/2019,15:00:00,1450,0,3.3040625
29/08/2019,15:00:00,1460,0,2.0228125
29/08/2019,15:00:00,1470,0,1.719125
29/08/2019,15:00:00,1480,0,3.7963125
29/08/2019,15:00:00,1490,0,4.749375
29/08/2019,15:00:00,1500,0,4.431375
29/08/2019,15:00:00,1510,0,4.855875
29/08/2019,15:00:00,1520,0,4.407125
29/08/2019,15:00:00,1530,0,4.615125
29/08/2019,15:00:00,1540,0,5.2108125
29/08/2019,15:00:00,1550,0,5.1924375
29/08/2019,15:00:00,1560,0,5.002375
29/08/2019,15:00:00,1570,0,5.8296875
29/08/2019,15:00:00,1580,0,5.6475
29/08/2019,15:00:00,1590,0,4.788875
29/08/2019,15:00:00,1600,0,5.036875
29/08/2019,15:00:00,1610,0,5.4544375
29/08/2019,15:00:00,1620,0,5.7611875
29/08/2019,15:00:00,1630,0,5.7058125
29/08/2019,15:00:00,1640,0,5.6099375
29/08/2019,15:00:00,1650,0,4.184875
29/08/2019,15:00:00,1660,200,4.7274375
29/08/2019,15:00:00,1670,200,4.976625
29/08/2019,15:00:00,1680,200,4.3411875
29/08/2019,15:00:00,1690,200,4.4009375
29/08/2019,15:00:00,1700,200,4.3181875
29/08/2019,15:00:00,1710,200,4.738
29/08/2019,15:00:00,1720,200,4.3244375
29/08/2019,15:00:00,1730,200,4.4245
29/08/2019,15:00:00,1740,200,4.272625
29/08/2019,15:00:00,1750,200,4.8155
29/08/2019,15:00:00,1760,200,4.6745625
29/08/2019,15:00:00,1770,0,4.7440625
29/08/2019,15:00:00,1780,0,4.83025
29/08/2019,15:00:00,1790,0,5.1726875
29/08/2019,15:00:00,1800,0,4.7375625
29/08/2019,15:00:00,1810,0,4.467
29/08/2019,15:00:00,1820,0,4.07075
29/08/2019,15:00:00,1830,0,4.3269375
29/08/2019,15:00:00,1840,0,4.687375
29/08/2019,15:00:00,1850,0,4.7603125
29/08/2019,15:00:00,1860,0,4.58825
29/08/2019,15:00:00,1870,0,4.8284375
29/08/2019,15:00:00,1880,0,4.881375
29/08/2019,15:00:00,1890,0,5.116125
29/08/2019,15:00:00,1900,0,5.644
29/08/2019,15:00:00,1910,0,5.3534375
29/08/2019,15:00:00,1920,0,5.360625
29/08/2019,15:00:00,1930,0,4.955
29/08/2019,15:00:00,1940,0,5.110625
29/08/2019,15:00:00,1950,0,5.9164375
29/08/2019,15:00:00,1960,0,5.4520625
29/08/2019,15:00:00,1970,0,5.4965625
29/08/2019,15:00:00,1980,0,5.3726875
29/08/2019,15:00:00,1990,0,6.115
29/08/2019,15:00:00,2000,0,6.3459375
29/08/2019,15:00:00,2010,0,5.9905
29/08/2019,15:00:00,2020,0,5.6840625
29/08/2019,15:00:00,2030,0,0.7423125
29/08/2019,15:00:00,2040,600,0.5525
29/08/2019,15:00:00,2050,600,0.3883125
29/08/2019,15:00:00,2060,600,0.377625
29/08/2019,15:00:00,2070,600,0.3070625
29/08/2019,15:00:00,2080,600,0.4521875
29/08/2019,15:00:00,2090,600,0.541
29/08/2019,15:00:00,2100,600,0.670375
29/08/2019,15:00:00,2110,600,0.67525
29/08/2019,15:00:00,2120,600,0.67375
29/08/2019,15:00:00,2130,600,0.777
29/08/2019,15:00:00,2140,600,0.651
29/08/2019,15:00:00,2150,0,1.211875
29/08/2019,15:00:00,2160,0,1.5515
29/08/2019,15:00:00,2170,0,2.8679375
29/08/2019,15:00:00,2180,0,3.26475
29/08/2019,15:00:00,2190,0,3.1185
29/08/2019,15:00:00,2200,0,3.1304375
29/08/2019,15:00:00,2210,0,3.827625
29/08/2019,15:00:00,2220,0,3.99025
29/08/2019,15:00:00,2230,0,4.0116875
29/08/2019,15:00:00,2240,0,4.807125
29/08/2019,15:00:00,2250,0,4.855875
29/08/2019,15:00:00,2260,0,5.2471875
29/08/2019,15:00:00,2270,0,5.45675
29/08/2019,15:00:00,2280,0,4.9775625
29/08/2019,15:00:00,2290,0,5.678125
29/08/2019,15:00:00,2300,0,5.197625
29/08/2019,15:00:00,2310,0,5.577375
29/08/2019,15:00:00,2320,0,5.617625
29/08/2019,15:00:00,2330,0,5.9736875
29/08/2019,15:00:00,2340,0,6.2524375
