group1;group2;p.value
2000;700;1,00000000000000e+00
2000;750;1,00000000000000e+00
2000;1000;1,00000000000000e+00
2000;1500;1,00000000000000e+00
2500;Control;1,89877487279133e-58
2500;WN;4,63452213777219e-28
2500;50;1,41413962349970e-24
2500;100;1,10334122430703e-30
2500;150;1,10334122430703e-30
2500;200;1,10334122430703e-30
2500;250;5,80069261846012e-30
2500;300;8,09060769660893e-19
2500;350;1,84096263317890e-11
2500;400;1,72366276481231e-05
2500;440;4,59189724425925e-02
2500;450;5,23621273882642e-07
2500;500;1,00000000000000e+00
2500;550;1,00000000000000e+00
2500;600;1,00000000000000e+00
2500;650;1,00000000000000e+00
2500;700;1,00000000000000e+00
2500;750;1,00000000000000e+00
2500;1000;1,00000000000000e+00
2500;1500;1,00000000000000e+00
2500;2000;1,00000000000000e+00
